employee_id,department,level,hire_date,exit_date,exit_reason,annual_salary,status
1032,Engineering,IC2,2023-12-18,,,105122,Active
1833,Operations,IC4,2022-01-05,2024-09-01,Involuntary,94901,Exited
1414,Sales,IC3,2023-02-06,,,118221,Active
2048,Data,IC1,2023-02-07,2024-09-01,Voluntary,97700,Exited
1875,Customer Success,IC5,2025-08-19,,,111681,Active
1623,Product,IC3,2020-08-21,2022-05-01,Voluntary,140006,Exited
1583,Product,IC4,2024-12-12,,,150711,Active
1582,Product,IC4,2024-08-31,,,170874,Active
1087,Engineering,IC3,2025-02-02,,,133324,Active
1412,Sales,IC3,2022-08-08,,,118536,Active
1114,Engineering,IC2,2022-11-07,,,126749,Active
2060,Data,IC3,2024-03-01,2024-06-01,Voluntary,142258,Exited
1665,HR,IC3,2021-09-20,2024-04-01,Voluntary,95728,Exited
1465,Sales,IC3,2022-10-30,2024-08-01,Retirement,120581,Exited
1307,Engineering,IC3,2021-11-12,2022-02-01,Voluntary,135307,Exited
2001,Data,IC2,2022-12-10,,,115697,Active
1901,Customer Success,IC4,2024-06-17,,,87867,Active
1558,Product,IC2,2021-07-17,,,105899,Active
1992,Data,IC1,2025-04-10,,,96463,Active
1627,HR,IC2,2025-02-22,,,82707,Active
1801,Operations,IC2,2020-03-02,2022-12-01,Involuntary,62111,Exited
1324,Engineering,IC3,2022-08-24,2024-08-01,Voluntary,132920,Exited
1679,Finance,IC5,2024-08-23,,,162241,Active
1508,Sales,IC3,2022-08-19,2023-06-01,Voluntary,108520,Exited
1895,Customer Success,IC4,2024-11-18,,,105284,Active
1446,Sales,IC2,2021-12-17,,,96115,Active
1334,Sales,IC2,2022-12-21,,,87898,Active
1261,Engineering,IC4,2024-02-05,2024-07-01,Voluntary,159797,Exited
1654,HR,IC4,2023-08-18,,,114290,Active
1705,Finance,IC3,2026-02-01,,,115089,Active
1782,Operations,IC4,2024-06-12,,,100242,Active
1179,Engineering,IC4,2025-02-02,,,175146,Active
1850,Customer Success,IC3,2024-10-13,,,73058,Active
1328,Engineering,IC1,2021-01-13,2022-03-01,Voluntary,97772,Exited
1978,Data,IC2,2023-12-03,,,116308,Active
1248,Engineering,IC3,2019-09-18,2022-03-01,Voluntary,141576,Exited
1774,Operations,IC3,2021-10-16,,,84032,Active
1591,Product,IC2,2024-01-29,,,111521,Active
1732,Operations,IC2,2021-10-02,,,69433,Active
1108,Engineering,IC3,2022-09-20,,,155669,Active
1657,HR,IC1,2025-09-20,,,58035,Active
2009,Data,IC5,2021-07-25,,,216138,Active
1276,Engineering,IC3,2021-03-05,2023-04-01,Retirement,151478,Exited
1742,Operations,IC4,2024-04-11,,,97186,Active
1714,Finance,IC2,2020-12-16,2022-08-01,Voluntary,79093,Exited
1360,Sales,IC3,2024-05-26,,,112821,Active
1855,Customer Success,IC4,2023-04-03,,,90092,Active
1382,Sales,IC1,2024-07-19,,,69848,Active
1612,Product,IC3,2020-02-04,2022-04-01,Voluntary,144268,Exited
1910,Customer Success,IC3,2023-06-08,,,86993,Active
1089,Engineering,IC3,2023-09-11,,,135242,Active
1888,Customer Success,IC2,2022-09-06,,,67583,Active
1293,Engineering,Manager,2021-10-13,2024-06-01,Voluntary,185499,Exited
1297,Engineering,IC2,2020-07-03,2022-06-01,Retirement,122307,Exited
1526,Sales,IC4,2021-10-21,2022-08-01,Involuntary,133239,Exited
1970,Data,IC2,2022-05-18,,,111349,Active
1071,Engineering,IC2,2023-09-29,,,127514,Active
1935,Customer Success,IC3,2021-07-05,2023-10-01,Voluntary,74118,Exited
1366,Sales,IC4,2025-12-12,,,120070,Active
1514,Sales,IC3,2020-11-12,2022-01-01,Voluntary,107692,Exited
1175,Engineering,IC2,2024-12-20,,,109658,Active
1322,Engineering,IC3,2020-09-28,2022-08-01,Voluntary,147845,Exited
1761,Operations,IC3,2023-05-13,,,78711,Active
1060,Engineering,IC4,2021-06-10,,,186909,Active
2065,Data,IC1,2019-08-25,2022-04-01,Retirement,96832,Exited
2034,Data,IC5,2022-02-12,,,215582,Active
1351,Sales,IC5,2022-02-12,,,143556,Active
1343,Sales,IC4,2024-11-21,,,120638,Active
1024,Engineering,IC3,2023-09-15,,,135245,Active
1653,HR,Manager,2022-08-03,,,131244,Active
1843,Customer Success,IC4,2025-10-01,,,90537,Active
1689,Finance,IC2,2022-03-26,,,77574,Active
1214,Engineering,IC3,2023-10-26,,,139542,Active
1287,Engineering,IC4,2020-09-17,2022-06-01,Involuntary,176986,Exited
1337,Sales,IC2,2026-01-08,,,81698,Active
1662,HR,IC4,2021-06-17,2023-01-01,Involuntary,123865,Exited
1483,Sales,IC4,2024-06-19,2024-10-01,Involuntary,143818,Exited
1536,Sales,IC2,2022-12-31,2024-07-01,Retirement,91959,Exited
1762,Operations,IC5,2023-07-14,,,131857,Active
1320,Engineering,IC3,2019-10-21,2022-02-01,Involuntary,146676,Exited
1600,Product,IC3,2026-02-08,,,147209,Active
1784,Operations,IC3,2022-02-21,,,92628,Active
1274,Engineering,IC4,2021-07-28,2022-04-01,Retirement,156711,Exited
1345,Sales,IC1,2021-09-29,,,65452,Active
1050,Engineering,IC1,2023-02-04,,,94229,Active
1713,Finance,IC1,2022-01-23,2023-06-01,Involuntary,67017,Exited
1290,Engineering,IC3,2020-05-04,2022-04-01,Voluntary,134370,Exited
1615,Product,IC1,2022-11-14,2024-11-01,Voluntary,95849,Exited
1077,Engineering,IC4,2021-10-16,,,174168,Active
1011,Engineering,IC4,2022-09-19,,,175436,Active
1529,Sales,IC3,2022-04-05,2023-11-01,Voluntary,109414,Exited
1238,Engineering,IC3,2023-01-15,2023-10-01,Voluntary,141704,Exited
1584,Product,IC3,2025-05-15,,,129126,Active
1791,Operations,IC3,2022-12-02,,,82533,Active
1478,Sales,IC4,2019-05-07,2022-01-01,Retirement,140821,Exited
1356,Sales,IC1,2024-04-27,,,78167,Active
1543,Sales,IC3,2022-09-14,2024-02-01,Voluntary,109961,Exited
1291,Engineering,IC4,2019-09-03,2022-01-01,Voluntary,173876,Exited
1391,Sales,IC3,2022-07-03,,,99121,Active
1097,Engineering,IC4,2022-07-21,,,162413,Active
1448,Sales,IC3,2025-04-19,,,102391,Active
1431,Sales,Manager,2022-10-11,,,149064,Active
1539,Sales,IC2,2020-07-13,2022-05-01,Retirement,95903,Exited
1110,Engineering,IC4,2025-01-30,,,161459,Active
1142,Engineering,IC5,2024-03-05,,,199463,Active
1232,Engineering,IC2,2022-08-30,2023-09-01,Retirement,119389,Exited
1169,Engineering,IC4,2022-04-22,,,170670,Active
1216,Engineering,IC3,2025-06-09,,,136765,Active
1410,Sales,IC1,2024-05-04,,,65496,Active
1680,Finance,IC4,2024-06-06,,,133216,Active
1479,Sales,IC1,2021-08-27,2022-05-01,Voluntary,75124,Exited
1634,HR,IC3,2025-09-05,,,95942,Active
1804,Operations,IC3,2020-01-18,2022-10-01,Voluntary,81065,Exited
1667,HR,IC3,2024-07-03,2024-12-01,Retirement,90219,Exited
1491,Sales,IC4,2022-12-25,2023-08-01,Voluntary,133442,Exited
1137,Engineering,IC1,2025-04-20,,,87633,Active
1266,Engineering,Director,2022-01-11,2024-08-01,Retirement,253414,Exited
1102,Engineering,IC1,2023-04-11,,,94837,Active
1505,Sales,IC4,2021-06-29,2022-11-01,Retirement,144303,Exited
1974,Data,IC4,2026-02-06,,,179655,Active
1281,Engineering,IC3,2022-03-26,2024-09-01,Voluntary,134048,Exited
