month,department,headcount_actual,headcount_target,new_hires,attritions,open_reqs,avg_salary
2022-01,Engineering,121,120,2,1,0,146430
2022-02,Engineering,123,122,3,1,0,150309
2022-03,Engineering,125,124,3,1,0,151813
2022-04,Engineering,127,126,3,1,0,140409
2022-05,Engineering,128,128,2,1,0,141972
2022-06,Engineering,131,131,4,1,2,143062
2022-07,Engineering,134,133,4,1,1,145206
2022-08,Engineering,136,135,3,1,1,140222
2022-09,Engineering,137,138,3,2,2,149471
2022-10,Engineering,140,140,4,1,3,144132
2022-11,Engineering,143,143,4,1,2,150935
2022-12,Engineering,144,146,3,2,2,145290
2023-01,Engineering,151,148,8,1,4,148989
2023-02,Engineering,152,151,3,2,0,151117
2023-03,Engineering,155,154,4,1,1,142467
2023-04,Engineering,157,156,3,1,1,142922
2023-05,Engineering,159,159,4,2,1,149381
2023-06,Engineering,161,162,4,2,3,140631
2023-07,Engineering,165,165,6,2,4,148320
2023-08,Engineering,170,168,6,1,2,139430
2023-09,Engineering,172,171,4,2,0,138671
2023-10,Engineering,174,174,4,2,2,146994
2023-11,Engineering,177,177,5,2,2,148092
2023-12,Engineering,179,180,4,2,3,144910
2024-01,Engineering,186,184,9,2,4,139314
2024-02,Engineering,188,187,4,2,0,145124
2024-03,Engineering,192,190,6,2,1,148705
2024-04,Engineering,195,194,4,1,1,140087
2024-05,Engineering,197,197,5,3,2,150386
2024-06,Engineering,201,201,6,2,4,145570
2024-07,Engineering,205,204,7,3,2,139345
2024-08,Engineering,209,208,6,2,3,150230
2024-09,Engineering,212,212,5,2,2,140970
2024-10,Engineering,216,216,6,2,4,142436
2024-11,Engineering,219,220,6,3,3,151840
2024-12,Engineering,224,224,7,2,4,142112
2022-01,Sales,81,80,1,0,0,110029
2022-02,Sales,81,81,1,1,0,107135
2022-03,Sales,82,82,2,1,1,107162
2022-04,Sales,83,83,2,1,0,112510
2022-05,Sales,83,84,1,1,1,110393
2022-06,Sales,85,86,3,1,2,106551
2022-07,Sales,87,87,3,1,2,104682
2022-08,Sales,88,88,2,1,1,106418
2022-09,Sales,90,90,3,1,2,106012
2022-10,Sales,91,91,2,1,1,114150
2022-11,Sales,91,92,1,1,1,110607
2022-12,Sales,93,94,3,1,2,114369
2023-01,Sales,96,95,4,1,1,108341
2023-02,Sales,96,97,2,2,1,113078
2023-03,Sales,98,98,3,1,1,114384
2023-04,Sales,100,100,3,1,1,111798
2023-05,Sales,100,101,1,1,1,112110
2023-06,Sales,102,103,3,1,3,107109
2023-07,Sales,104,104,3,1,2,113841
2023-08,Sales,106,106,3,1,1,108544
2023-09,Sales,107,107,2,1,1,108824
2023-10,Sales,109,109,3,1,2,110029
2023-11,Sales,111,111,3,1,1,112446
2023-12,Sales,111,112,1,1,1,106448
2024-01,Sales,115,114,6,2,3,108571
2024-02,Sales,115,116,2,2,0,115133
2024-03,Sales,117,117,4,2,1,108736
2024-04,Sales,119,119,3,1,1,110624
2024-05,Sales,120,121,3,2,2,105568
2024-06,Sales,122,123,4,2,2,110201
2024-07,Sales,125,125,5,2,3,112227
2024-08,Sales,126,126,2,1,1,113411
2024-09,Sales,128,128,4,2,2,110016
2024-10,Sales,129,130,3,2,2,113253
2024-11,Sales,132,132,4,1,2,105533
2024-12,Sales,133,134,2,1,1,110469
2022-01,Product,40,40,0,0,0,128754
2022-02,Product,40,40,0,0,0,135300
2022-03,Product,40,40,0,0,0,129402
2022-04,Product,41,41,1,0,1,136855
2022-05,Product,41,41,0,0,0,132609
2022-06,Product,42,42,1,0,0,129309
2022-07,Product,42,42,0,0,0,137645
2022-08,Product,43,43,1,0,0,131628
2022-09,Product,44,44,1,0,1,132029
2022-10,Product,44,44,0,0,0,136508
2022-11,Product,45,45,1,0,0,138480
2022-12,Product,45,45,0,0,0,128799
2023-01,Product,47,46,2,0,0,129570
2023-02,Product,47,46,0,0,0,134106
2023-03,Product,47,47,0,0,0,128861
2023-04,Product,47,47,0,0,0,139812
2023-05,Product,48,48,1,0,0,136922
2023-06,Product,48,48,0,0,0,136018
2023-07,Product,49,49,1,0,0,135615
2023-08,Product,50,50,1,0,1,140472
2023-09,Product,50,50,0,0,0,128495
2023-10,Product,51,51,1,0,0,132556
2023-11,Product,52,52,1,0,1,132055
2023-12,Product,52,52,0,0,0,140095
2024-01,Product,54,53,2,0,0,130645
2024-02,Product,54,53,0,0,0,133820
2024-03,Product,54,54,0,0,0,140815
2024-04,Product,55,55,1,0,1,138436
2024-05,Product,55,55,0,0,0,139407
2024-06,Product,56,56,1,0,0,128396
2024-07,Product,58,57,2,0,0,141075
2024-08,Product,58,57,0,0,0,134304
2024-09,Product,58,58,0,0,0,138407
2024-10,Product,59,59,1,0,0,134924
2024-11,Product,60,60,1,0,0,140234
2024-12,Product,60,60,0,0,0,138530
2022-01,HR,25,25,0,0,0,96909
2022-02,HR,25,25,0,0,0,91022
2022-03,HR,25,25,0,0,0,93771
2022-04,HR,25,25,0,0,0,97407
2022-05,HR,25,25,0,0,0,95554
2022-06,HR,25,26,0,0,0,94929
2022-07,HR,26,26,1,0,0,91378
2022-08,HR,26,26,0,0,0,95792
2022-09,HR,26,26,0,0,0,98501
2022-10,HR,26,26,0,0,0,99463
2022-11,HR,26,27,0,0,1,99683
2022-12,HR,26,27,0,0,1,95219
2023-01,HR,27,27,1,0,0,96211
2023-02,HR,27,27,0,0,0,92919
2023-03,HR,27,27,0,0,0,96141
2023-04,HR,28,28,1,0,0,93606
2023-05,HR,28,28,0,0,0,99619
2023-06,HR,28,28,0,0,0,97981
2023-07,HR,28,28,0,0,0,98064
2023-08,HR,29,29,1,0,1,94223
2023-09,HR,29,29,0,0,0,90500
2023-10,HR,29,29,0,0,0,91678
2023-11,HR,29,29,0,0,0,98250
2023-12,HR,29,30,0,0,0,92847
2024-01,HR,30,30,1,0,1,99747
2024-02,HR,30,30,0,0,0,99225
2024-03,HR,30,30,0,0,0,91477
2024-04,HR,31,31,1,0,0,96631
2024-05,HR,31,31,0,0,0,96629
2024-06,HR,31,31,0,0,0,98345
2024-07,HR,31,31,0,0,0,94083
2024-08,HR,32,32,1,0,1,96142
2024-09,HR,32,32,0,0,0,90388
2024-10,HR,32,32,0,0,0,94406
2024-11,HR,32,32,0,0,0,97694
2024-12,HR,32,33,0,0,1,99270
2022-01,Finance,30,30,0,0,0,102461
2022-02,Finance,30,30,0,0,0,103201
2022-03,Finance,30,30,0,0,0,101103
2022-04,Finance,30,30,0,0,0,106479
2022-05,Finance,30,30,0,0,0,104726
2022-06,Finance,31,31,1,0,0,100179
2022-07,Finance,31,31,0,0,0,100681
2022-08,Finance,31,31,0,0,0,103574
2022-09,Finance,31,31,0,0,0,108143
2022-10,Finance,31,31,0,0,0,109419
2022-11,Finance,31,32,0,0,1,107606
2022-12,Finance,31,32,0,0,0,104837
2023-01,Finance,32,32,1,0,0,107598
2023-02,Finance,32,32,0,0,0,109149
2023-03,Finance,33,33,1,0,0,104447
2023-04,Finance,33,33,0,0,0,103711
2023-05,Finance,33,33,0,0,0,103188
2023-06,Finance,33,33,0,0,0,106880
2023-07,Finance,34,34,1,0,0,105389
2023-08,Finance,34,34,0,0,0,101089
2023-09,Finance,34,34,0,0,0,105743
2023-10,Finance,34,34,0,0,0,102240
2023-11,Finance,34,34,0,0,0,101437
2023-12,Finance,34,35,0,0,0,109166
2024-01,Finance,35,35,1,0,0,110064
2024-02,Finance,35,35,0,0,0,108837
2024-03,Finance,35,35,0,0,0,106770
2024-04,Finance,36,36,1,0,1,102689
2024-05,Finance,36,36,0,0,0,104217
2024-06,Finance,36,36,0,0,0,106161
2024-07,Finance,36,36,0,0,0,104801
2024-08,Finance,37,37,1,0,0,101161
2024-09,Finance,37,37,0,0,0,108253
2024-10,Finance,37,37,0,0,0,106004
2024-11,Finance,38,38,1,0,0,109510
2024-12,Finance,38,38,0,0,0,107424
2022-01,Operations,60,60,0,0,0,87049
2022-02,Operations,59,60,0,1,0,87509
2022-03,Operations,61,61,2,0,1,87673
2022-04,Operations,61,61,0,0,0,88206
2022-05,Operations,61,62,1,1,0,83954
2022-06,Operations,63,63,2,0,2,85023
2022-07,Operations,62,63,0,1,0,85370
2022-08,Operations,65,64,3,0,1,88738
2022-09,Operations,65,64,0,0,0,87499
2022-10,Operations,65,65,0,0,0,87453
2022-11,Operations,66,66,1,0,0,87073
2022-12,Operations,66,66,0,0,0,88202
2023-01,Operations,66,67,1,1,0,87944
2023-02,Operations,68,68,2,0,2,82024
2023-03,Operations,67,68,0,1,0,86199
2023-04,Operations,69,69,2,0,1,83688
2023-05,Operations,69,70,1,1,1,84157
2023-06,Operations,70,71,2,1,1,85732
2023-07,Operations,70,71,1,1,0,88163
2023-08,Operations,72,72,3,1,2,88591
2023-09,Operations,73,73,1,0,1,85907
2023-10,Operations,72,73,0,1,0,88617
2023-11,Operations,74,74,2,0,2,87880
2023-12,Operations,74,75,1,1,1,85160
2024-01,Operations,77,76,3,0,1,83599
2024-02,Operations,77,76,0,0,0,84134
2024-03,Operations,76,77,0,1,0,83699
2024-04,Operations,77,78,2,1,1,84595
2024-05,Operations,79,79,2,0,1,84310
2024-06,Operations,79,80,1,1,1,86124
2024-07,Operations,79,80,1,1,0,88919
2024-08,Operations,80,81,2,1,1,89223
2024-09,Operations,81,82,2,1,1,87124
2024-10,Operations,82,83,2,1,1,82370
2024-11,Operations,83,84,2,1,2,81308
2024-12,Operations,83,84,1,1,1,84496
2022-01,Customer Success,50,50,0,0,0,77455
2022-02,Customer Success,49,50,0,1,0,78165
2022-03,Customer Success,51,51,2,0,1,77249
2022-04,Customer Success,52,52,1,0,0,77775
2022-05,Customer Success,52,52,0,0,0,76832
2022-06,Customer Success,53,53,1,0,1,77905
2022-07,Customer Success,54,54,1,0,1,82845
2022-08,Customer Success,56,55,2,0,1,77639
2022-09,Customer Success,55,55,0,1,0,76684
2022-10,Customer Success,56,56,1,0,0,80664
2022-11,Customer Success,56,57,1,1,1,78734
2022-12,Customer Success,57,58,1,0,2,78144
2023-01,Customer Success,60,59,3,0,2,79489
2023-02,Customer Success,59,59,0,1,0,77120
2023-03,Customer Success,61,60,2,0,1,82398
2023-04,Customer Success,61,61,0,0,0,80333
2023-05,Customer Success,62,62,1,0,0,82679
2023-06,Customer Success,62,63,1,1,0,78178
2023-07,Customer Success,63,64,2,1,1,80612
2023-08,Customer Success,64,65,2,1,2,82637
2023-09,Customer Success,66,66,2,0,1,83200
2023-10,Customer Success,65,66,0,1,0,81320
2023-11,Customer Success,66,67,2,1,1,79065
2023-12,Customer Success,68,68,2,0,1,81904
2024-01,Customer Success,69,69,2,1,0,79114
2024-02,Customer Success,70,70,2,1,1,78376
2024-03,Customer Success,71,71,2,1,1,83494
2024-04,Customer Success,73,72,2,0,0,78098
2024-05,Customer Success,73,73,0,0,0,80774
2024-06,Customer Success,73,74,1,1,0,76601
2024-07,Customer Success,75,75,3,1,2,79478
2024-08,Customer Success,75,76,1,1,1,81557
2024-09,Customer Success,77,78,3,1,2,76732
2024-10,Customer Success,80,79,3,0,2,79568
2024-11,Customer Success,79,80,0,1,0,81857
2024-12,Customer Success,80,81,2,1,2,82793
2022-01,Data,35,35,0,0,0,146827
2022-02,Data,35,35,0,0,0,145953
2022-03,Data,36,36,1,0,1,133475
2022-04,Data,37,37,1,0,1,146594
2022-05,Data,37,37,0,0,0,144823
2022-06,Data,38,38,1,0,0,141347
2022-07,Data,39,39,1,0,0,142748
2022-08,Data,40,40,1,0,0,137414
2022-09,Data,41,41,1,0,0,141762
2022-10,Data,41,41,0,0,0,133341
2022-11,Data,42,42,1,0,1,140405
2022-12,Data,43,43,1,0,1,137909
2023-01,Data,45,44,2,0,0,141785
2023-02,Data,46,45,1,0,0,138848
2023-03,Data,46,46,0,0,0,134546
2023-04,Data,47,47,1,0,0,136270
2023-05,Data,48,48,1,0,1,138988
2023-06,Data,49,49,1,0,0,146299
2023-07,Data,50,49,1,0,0,145307
2023-08,Data,51,50,1,0,0,135338
2023-09,Data,53,52,2,0,1,142095
2023-10,Data,53,53,0,0,0,135471
2023-11,Data,54,54,1,0,1,137901
2023-12,Data,55,55,1,0,1,145988
2024-01,Data,57,56,2,0,0,143615
2024-02,Data,58,57,1,0,0,136142
2024-03,Data,59,58,1,0,0,141121
2024-04,Data,59,59,0,0,0,134813
2024-05,Data,61,60,2,0,1,144333
2024-06,Data,62,62,1,0,0,138718
2024-07,Data,64,63,2,0,1,139942
2024-08,Data,65,64,1,0,0,134065
2024-09,Data,66,65,1,0,0,141293
2024-10,Data,68,67,2,0,1,140920
2024-11,Data,69,68,1,0,0,142218
2024-12,Data,70,69,1,0,0,144718
