month,department,roles_open,applications,interviews,offers_made,offers_accepted,offer_accept_rate,time_to_fill_days
2022-01,Engineering,1,12,3,0,0,0.0,52
2022-02,Engineering,1,13,4,1,0,0.0,52
2022-03,Engineering,1,11,3,0,0,0.0,43
2022-04,Engineering,1,8,2,0,0,0.0,51
2022-05,Engineering,1,9,3,0,0,0.0,48
2022-06,Engineering,2,18,5,1,0,0.0,44
2022-07,Engineering,1,11,3,0,0,0.0,50
2022-08,Engineering,1,8,2,0,0,0.0,44
2022-09,Engineering,2,28,9,3,1,0.333,41
2022-10,Engineering,3,37,9,3,2,0.667,34
2022-11,Engineering,2,20,5,1,0,0.0,47
2022-12,Engineering,2,19,5,1,0,0.0,41
2023-01,Engineering,4,58,15,3,2,0.667,46
2023-02,Engineering,1,10,3,0,0,0.0,56
2023-03,Engineering,1,10,2,0,0,0.0,57
2023-04,Engineering,1,10,3,0,0,0.0,53
2023-05,Engineering,1,9,3,0,0,0.0,54
2023-06,Engineering,3,25,7,1,0,0.0,46
2023-07,Engineering,4,59,16,5,4,0.8,32
2023-08,Engineering,2,21,8,1,0,0.0,40
2023-09,Engineering,1,10,3,0,0,0.0,52
2023-10,Engineering,2,28,7,2,1,0.5,46
2023-11,Engineering,2,21,6,1,0,0.0,42
2023-12,Engineering,3,26,7,2,1,0.5,52
2024-01,Engineering,4,57,22,5,3,0.6,34
2024-02,Engineering,1,10,3,0,0,0.0,60
2024-03,Engineering,1,9,2,0,0,0.0,53
2024-04,Engineering,1,8,2,0,0,0.0,45
2024-05,Engineering,2,19,6,1,0,0.0,50
2024-06,Engineering,4,45,12,2,1,0.5,51
2024-07,Engineering,2,24,7,1,0,0.0,37
2024-08,Engineering,3,39,9,2,1,0.5,43
2024-09,Engineering,2,18,5,1,0,0.0,36
2024-10,Engineering,4,46,17,3,1,0.333,46
2024-11,Engineering,3,42,14,4,3,0.75,36
2024-12,Engineering,4,52,20,5,3,0.6,41
2022-01,Sales,1,9,2,0,0,0.0,50
2022-02,Sales,1,10,3,0,0,0.0,46
2022-03,Sales,1,9,2,0,0,0.0,46
2022-04,Sales,1,8,2,0,0,0.0,38
2022-05,Sales,1,14,3,0,0,0.0,51
2022-06,Sales,2,25,8,2,1,0.5,26
2022-07,Sales,2,26,7,2,1,0.5,35
2022-08,Sales,1,9,2,0,0,0.0,38
2022-09,Sales,2,23,8,1,0,0.0,33
2022-10,Sales,1,10,2,0,0,0.0,45
2022-11,Sales,1,14,4,1,0,0.0,32
2022-12,Sales,2,25,8,2,1,0.5,32
2023-01,Sales,1,11,3,0,0,0.0,35
2023-02,Sales,1,10,2,0,0,0.0,43
2023-03,Sales,1,14,4,1,0,0.0,35
2023-04,Sales,1,14,4,1,0,0.0,38
2023-05,Sales,1,11,2,0,0,0.0,41
2023-06,Sales,3,30,11,3,2,0.667,32
2023-07,Sales,2,18,6,2,1,0.5,34
2023-08,Sales,1,12,3,0,0,0.0,29
2023-09,Sales,1,13,4,0,0,0.0,45
2023-10,Sales,2,26,9,3,2,0.667,24
2023-11,Sales,1,14,3,0,0,0.0,34
2023-12,Sales,1,14,3,0,0,0.0,44
2024-01,Sales,3,33,12,3,2,0.667,31
2024-02,Sales,1,9,3,0,0,0.0,46
2024-03,Sales,1,11,4,1,0,0.0,43
2024-04,Sales,1,10,3,0,0,0.0,45
2024-05,Sales,2,21,8,1,0,0.0,42
2024-06,Sales,2,19,5,1,0,0.0,44
2024-07,Sales,3,40,12,2,1,0.5,36
2024-08,Sales,1,10,3,0,0,0.0,40
2024-09,Sales,2,22,8,2,1,0.5,33
2024-10,Sales,2,25,8,2,1,0.5,33
2024-11,Sales,2,26,7,2,1,0.5,28
2024-12,Sales,1,9,3,0,0,0.0,28
2022-01,Product,1,12,4,1,0,0.0,44
2022-02,Product,1,9,2,0,0,0.0,49
2022-03,Product,1,14,5,1,0,0.0,48
2022-04,Product,1,11,2,0,0,0.0,50
2022-05,Product,1,10,3,0,0,0.0,56
2022-06,Product,1,10,3,0,0,0.0,47
2022-07,Product,1,14,5,1,0,0.0,48
2022-08,Product,1,11,4,1,0,0.0,46
